"Champion";"G";"PB%";"B";"G";"By";"W";"L";"WR";"K";"D";"A";"KDA";"CS";"CS/M";"G";"G/M";"KPAR";"KS";"GS";"As"
"Leona";"26";"11.7%";"12";"14";"6";"5";"9";"35.7%";"0.5";"4.86";"6.14";"1.37";"40.36";"1.13";"7.9";"220";"55.4%";"4.2%";"12.8%";""
"Blitzcrank";"21";"9.4%";"11";"10";"5";"8";"2";"80%";"1.2";"2.7";"6.5";"2.85";"32.7";"0.88";"8.3";"222";"59.7%";"9.3%";"12.6%";""
"Zilean";"21";"9.4%";"12";"9";"4";"6";"3";"66.7%";"1.89";"0.78";"7.67";"12.29";"254.67";"7.44";"11.9";"347";"84.3%";"16.7%";"20.2%";""
"Gnar";"20";"9%";"5";"15";"6";"6";"9";"40%";"1.13";"2.93";"3.67";"1.64";"279.13";"8.12";"12.6";"366";"60%";"14.2%";"22%";""
"Illaoi";"20";"9%";"15";"5";"1";"2";"3";"40%";"2.6";"5.4";"5.6";"1.52";"286.8";"7.01";"13.9";"340";"59.4%";"18.8%";"20.3%";""
"Karma";"19";"8.5%";"6";"13";"9";"7";"6";"53.8%";"0.85";"1.15";"7.77";"7.47";"86.31";"2.69";"8.4";"262";"81.8%";"8%";"15.1%";""
"Cassiopeia";"18";"8.1%";"4";"14";"10";"5";"9";"35.7%";"2.5";"2.57";"3.14";"2.19";"273.86";"8.64";"12";"378";"70.5%";"31.3%";"22.6%";""
"Viktor";"18";"8.1%";"4";"14";"9";"5";"9";"35.7%";"2.93";"2.36";"3.14";"2.58";"332.43";"9.12";"14.4";"395";"64.9%";"31.3%";"23.7%";""
"Kassadin";"18";"8.1%";"12";"6";"5";"2";"4";"33.3%";"3.67";"1.67";"3.5";"4.3";"295.33";"9.22";"13.3";"414";"71.7%";"36.7%";"24.4%";""
"Taliyah";"18";"8.1%";"12";"6";"5";"2";"4";"33.3%";"2.17";"2.17";"2.83";"2.31";"252";"7.5";"11.7";"349";"58.8%";"25.5%";"20.9%";""
"Gangplank";"17";"7.6%";"7";"10";"6";"9";"1";"90%";"2.3";"2.1";"8.4";"5.1";"293";"8.3";"14.9";"423";"69.5%";"14.9%";"23.1%";""
"Volibear";"15";"6.7%";"10";"5";"3";"3";"2";"60%";"2.2";"3.4";"6.8";"2.65";"88.6";"2.5";"10";"281";"66.2%";"16.2%";"15.2%";""
"Alistar";"14";"6.3%";"1";"13";"6";"8";"5";"61.5%";"0.38";"2.08";"9.31";"4.67";"30.92";"0.93";"7.7";"231";"77.3%";"3.1%";"13%";""
