"Champion";"G";"PB%";"B";"G";"By";"W";"L";"WR";"K";"D";"A";"KDA";"CS";"CS/M";"G";"G/M";"KPAR";"KS";"GS";"As"
"Ashe";"6";"6.4%";"-";"6";"4";"2";"4";"33.3%";"2.5";"2";"4.83";"3.67";"386.5";"9.87";"16.3";"416";"66.7%";"22.7%";"25.2%";""
"Ekko";"6";"6.4%";"3";"3";"3";"1";"2";"33.3%";"2";"1.33";"4";"4.5";"285";"9.33";"12.5";"410";"60%";"20%";"23.6%";""
"Zilean";"6";"6.4%";"4";"2";"1";"1";"1";"50%";"3.5";"1";"6";"9.5";"274";"8.28";"12.5";"379";"79.2%";"29.2%";"22.3%";""
"Diana";"5";"5.3%";"1";"4";"3";"1";"3";"25%";"1";"3.25";"2.25";"1";"286.5";"7.96";"12.4";"346";"43.3%";"13.3%";"21.3%";""
"Kennen";"5";"5.3%";"1";"4";"4";"1";"3";"25%";"1.25";"2.5";"2.25";"1.4";"268.5";"8.29";"11.8";"363";"40%";"14.3%";"22.4%";""
"Kayle";"5";"5.3%";"2";"3";"3";"0";"3";"0%";"2.33";"4";"2.67";"1.25";"292.67";"9.01";"12.7";"390";"78.9%";"36.8%";"24.9%";""
"Vladimir";"5";"5.3%";"3";"2";"2";"2";"0";"100%";"2.5";"0.5";"4.5";"14";"235";"8.96";"10.7";"406";"56%";"20%";"21.9%";""
"Blitzcrank";"5";"5.3%";"3";"2";"1";"1";"1";"50%";"0.5";"1.5";"5";"3.67";"34";"0.92";"7.4";"201";"40.7%";"3.7%";"11.8%";""
"Kai'Sa";"4";"4.3%";"-";"4";"4";"2";"2";"50%";"3.25";"1.75";"4.25";"4.29";"266";"9.39";"11.5";"405";"63.8%";"27.7%";"23.9%";""
"Fiora";"4";"4.3%";"1";"3";"2";"2";"1";"66.7%";"1.33";"3";"4";"1.78";"278";"8.4";"12.9";"390";"42.1%";"10.5%";"22.3%";""
"Sylas";"4";"4.3%";"2";"2";"2";"1";"1";"50%";"2";"4";"5";"1.75";"175.5";"6.43";"9.2";"336";"70%";"20%";"19.5%";""
"Shen";"3";"3.2%";"-";"3";"3";"1";"2";"33.3%";"1.67";"4.33";"5.33";"1.62";"84.67";"2.87";"7.8";"265";"56.8%";"13.5%";"15.4%";""
